Index,Offset,SLP,Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
35.0,794.8717948717949,200.0,0.015,0.9321333008927628,0.010290775542465085,0.9392588570118379,0.009425455828563536,2.2537223315830446e-21,0.229877954083827,-0.0001797389066499342,0.9106941503760267,0.0016003954701283535,0.00027347615963679335,0.00931655563815464,1.4734523309614777e-20,8.944263185908329e-25,-1.3834280802195212e-21
35.0,794.8717948717949,200.0,0.02,0.9303662429581951,0.009687189684693015,0.9229251292386637,0.009261640826047957,-1.3486159732989604e-20,0.22592613300447914,-0.00027625967723860097,0.8948456494083478,0.001573317767924021,0.0002684213983327036,0.009154447821111552,9.177592810770125e-20,-1.4574485780334126e-19,-3.699851459763208e-20
35.0,794.8717948717949,200.0,0.025,0.9239908996946358,0.010115634534928161,0.9068754445021598,0.00910066165835768,-1.970326142118775e-20,0.2220367416516445,-0.0003574000205778792,0.8792743366275549,0.0015466073766248365,0.0002634956541710103,0.00899517180824263,6.004410200460955e-19,-1.6718643139273135e-19,-1.7139609631350076e-19
35.0,794.8717948717949,200.0,0.03,0.8889501394189954,0.01027125764468258,0.8911048634085826,0.008942470785730463,2.1272491930890636e-21,0.2182095596291283,-0.00042531149266708567,0.8639751741395533,0.0015202721502617863,0.0002586910300422826,0.008838676601853694,1.830119617856661e-20,1.558952102749894e-24,-2.4112641475704945e-21
35.0,794.8717948717949,200.0,0.035,0.8871004472130908,0.010002316062023654,0.8756085324436718,0.008787021250984536,1.0093775708063894e-21,0.21444425139570056,-0.00048184916123455117,0.8489432415784668,0.0014943178479898502,0.00025400054355446294,0.008684912332087201,1.4482723537365405e-19,2.8579904281873145e-19,-3.539956252017536e-20
35.0,794.8717948717949,200.0,0.04,0.8761411740457405,0.01020540938874519,0.8603816824813452,0.008634266702956092,-2.0641502330885968e-20,0.2107403846275221,-0.0005286123855809537,0.8341737299486278,0.0014687484397930765,0.0002494180042311436,0.008533830204170896,1.4882202639698694e-19,-2.3834499765744153e-19,-5.87304149038326e-20
35.0,794.8717948717949,200.0,0.045,0.8446775359987534,0.009896614726236055,0.8454196273185366,0.008484161414918529,2.6630773920376815e-21,0.20709744601177202,-0.0005669799887793642,0.8196619361398659,0.0014435663698491182,0.00024493790754470554,0.008385382451145253,3.4474526438887206e-19,2.3017909250987193e-19,-8.399627458055124e-20
35.0,794.8717948717949,200.0,0.05,0.8348287055597396,0.009569819014634629,0.8307177622344403,0.008336660298691777,-2.3638683322481102e-20,0.203514854825161,-0.0005981405933141707,0.8054032580253182,0.0014187727833754793,0.00024055534346771086,0.008239522291335137,9.89811505881692e-19,-2.656082132942413e-19,-2.7342481888620545e-19
35.0,794.8717948717949,200.0,0.055,0.826665887170811,0.010272576367547422,0.8162715625754371,0.008191718915081369,1.405787789063885e-20,0.19999197460305126,-0.0006231187852211316,0.791393190066147,0.0013943677219887866,0.00023626591755148506,0.008096203889959316,-3.4940155825732535e-19,2.64748362757042e-19,1.024099852601457e-19
35.0,794.8717948717949,200.0,0.06,0.8009000970464492,0.010115134460747771,0.8020765823633914,0.008049293481163419,1.8827734585791794e-21,0.1965281231620388,-0.0006427976803289163,0.7776273193546486,0.001370350291907683,0.00023206568280389813,0.0079553823243205,2.2395398224387467e-20,2.387963738220841e-24,-3.6935139556331164e-21
35.0,794.8717948717949,200.0,0.065,0.7874204401713166,0.010128117178161148,0.7881284529294291,0.007909340874903586,2.184277163742183e-20,0.1931225812037087,-0.0006579383873425913,0.764101322040632,0.001346718808744929,0.00022795108089163524,0.007817013552136704,-1.7277860138645883e-18,-3.0287238174475194e-20,4.572568392849536e-19
35.0,794.8717948717949,200.0,0.07,0.7811569509795897,0.010377831275440301,0.7744228815697021,0.007771818637475686,2.531969266873409e-21,0.18977459969466262,-0.0006691967944681653,0.7508109600883744,0.00132347092210305,0.0002239188913736066,0.0076810543825822615,2.1665191996652788e-19,4.1900712198521873e-19,-5.190153091202998e-20
35.0,794.8717948717949,200.0,0.075,0.7657331634471302,0.009989632721098277,0.7609556502254019,0.007636684973650225,-4.6357732161691747e-20,0.18648340619238227,-0.0006771380476117991,0.737752078323825,0.0013006037227654556,0.00021996618787422444,0.007547462449717793,2.848507015553077e-18,-1.1928913488223767e-20,-7.64523766164139e-19
35.0,794.8717948717949,200.0,0.08,0.740157160958893,0.010502737757862134,0.7477226141857581,0.007503898750538349,-3.2102913784472914e-20,0.18324821026239232,-0.0006822490375775763,0.7249206017341475,0.0012781138348754808,0.00021609030023361317,0.00741619618800157,2.0539972023835948e-19,-3.3196505304495726e-19,-8.478474237599394e-20
35.0,794.8717948717949,200.0,0.085,0.7293179734061944,0.00997271022229356,0.7347197008126324,0.007373419494935644,-5.8800438323439345e-21,0.18006820811210647,-0.0006849491700389134,0.7123125329866272,0.001255997495173017,0.00021228878181866323,0.007287214809613576,5.189220765132923e-19,-3.0242276832572863e-19,-1.3663080784505406e-19
35.0,794.8717948717949,200.0,0.09,0.7324437342723562,0.010021762236847023,0.7219429082877397,0.007245207389497953,3.078078501500257e-21,0.17694258655004824,-0.0006855996544153625,0.6999239501406535,0.0012342506210737125,0.0002085593812849012,0.007160478283382507,4.634030702466187e-19,3.136044338745939e-19,-1.1342417341503495e-19
35.0,794.8717948717949,200.0,0.095,0.7124469338008306,0.009625476320053535,0.709388304381955,0.007119223267936108,8.874863941164702e-21,0.1738705263638409,-0.0006845115153180077,0.6877510045287205,0.0012128688691303289,0.00020490001817751182,0.007035947315121113,1.0626272956169673e-18,2.0609215173485136e-19,-2.582192562733359e-19
35.0,794.8717948717949,200.0,0.1,0.6977433303331568,0.010042123847353373,0.6970520252450723,0.006995428609378197,-2.898084743915079e-20,0.17085120519723146,-0.0006819525022165314,0.6757899187845693,0.0011918476852010736,0.00020130876184449724,0.00691358332918973,1.3042465029747733e-18,-3.441790552004222e-19,-3.580493942359175e-19
35.0,794.8717948717949,200.0,0.105,0.6915230996739877,0.010593945660917864,0.6849302742174764,0.006873785532056971,-1.8337814984728634e-20,0.16788379999608966,-0.0006781530488341264,0.6640369850023753,0.001171182347471834,0.00019778381320895,0.006793348451161997,7.688220726136732e-19,-7.147107538132376e-19,-2.1235493606205958e-19
