offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1.409547738693467181e+03,8.000000000000000000e+02,-2.994404490067867300e+03,-2.994404490067867300e+03,-1.479833660560234421e+01,-1.479833660560234421e+01,-4.300266535541060975e+00,-3.001035926723078774e+03,-4.748685655795156890e+00,-4.748685655795156890e+00,-3.157469556189200777e+00
-1.464824120603015217e+03,8.000000000000000000e+02,-2.994404942933716484e+03,-2.994404942933716484e+03,-1.482140624560224751e+01,-1.482140624560224751e+01,-4.175403905138585614e+00,-3.001113744341786514e+03,-4.766109174126238912e+00,-4.766109174126238912e+00,-3.122622519526632612e+00
-1.520100502512562343e+03,8.000000000000000000e+02,-2.994405385055061743e+03,-2.994405385055061743e+03,-1.484238574341031836e+01,-1.484238574341031836e+01,-4.061665952199883911e+00,-3.001184639056412379e+03,-4.782216799237176019e+00,-4.782216799237176019e+00,-3.090407269302784865e+00
-1.575376884422110379e+03,8.000000000000000000e+02,-2.994405816637480712e+03,-2.994405816637480712e+03,-1.486150703641919790e+01,-1.486150703641919790e+01,-3.957923470878970562e+00,-3.001249275786886301e+03,-4.797122584015596658e+00,-4.797122584015596658e+00,-3.060595699748713372e+00
-1.630653266331658415e+03,8.000000000000000000e+02,-2.994406237895285813e+03,-2.994406237895285813e+03,-1.487897329806480684e+01,-1.487897329806480684e+01,-3.863167980674925062e+00,-3.001308256238193735e+03,-4.810930699477012240e+00,-4.810930699477012240e+00,-3.032979468829088976e+00
-1.685929648241205541e+03,8.000000000000000000e+02,-2.994406649049264161e+03,-2.994406649049264161e+03,-1.489496259394923072e+01,-1.489496259394923072e+01,-3.776499655372570263e+00,-3.001362123663761849e+03,-4.823736034483317781e+00,-4.823736034483317781e+00,-3.007368798816499655e+00
-1.741206030150753350e+03,8.000000000000000000e+02,-2.994407050324653028e+03,-2.994407050324653028e+03,-1.490963112697704673e+01,-1.490963112697704673e+01,-3.697115982890434971e+00,-3.001411367719409100e+03,-4.835624856511913094e+00,-4.835624856511913094e+00,-2.983591154758745034e+00
-1.796482412060301840e+03,8.000000000000000000e+02,-2.994407441949489112e+03,-2.994407441949489112e+03,-1.492311609030730324e+01,-1.492311609030730324e+01,-3.624301297223474272e+00,-3.001456429228741854e+03,-4.846675491952282755e+00,-4.846675491952282755e+00,-2.961489883874270035e+00
-1.851758793969848739e+03,8.000000000000000000e+02,-2.994407824153166985e+03,-2.994407824153166985e+03,-1.493553815878561863e+01,-1.493553815878561863e+01,-3.557417237014376621e+00,-3.001497704744636849e+03,-4.856958998340132894e+00,-4.856958998340132894e+00,-2.940922871101049552e+00
-1.907035175879396775e+03,8.000000000000000000e+02,-2.994408197165270394e+03,-2.994408197165270394e+03,-1.494700365427343058e+01,-1.494700365427343058e+01,-3.495894129242624881e+00,-3.001535550837224946e+03,-4.866539810821791434e+00,-4.866539810821791434e+00,-2.921761246133527390e+00
-1.962311557788944810e+03,8.000000000000000000e+02,-2.994408561214578185e+03,-2.994408561214578185e+03,-1.495760642153231856e+01,-1.495760642153231856e+01,-3.439223261818851185e+00,-3.001570288071523464e+03,-4.875476352283840242e+00,-4.875476352283840242e+00,-2.903888163211996165e+00
-2.017587939698491937e+03,8.000000000000000000e+02,-2.994408916528194823e+03,-2.994408916528194823e+03,-1.496742944996367441e+01,-1.496742944996367441e+01,-3.386949988847888893e+00,-3.001602204660388452e+03,-4.883821601345516683e+00,-4.883821601345516683e+00,-2.887197665085416531e+00
-2.072864321608039972e+03,8.000000000000000000e+02,-2.994409263330908288e+03,-2.994409263330908288e+03,-1.497654627392671500e+01,-1.497654627392671500e+01,-3.338667602167218806e+00,-3.001631559793727774e+03,-4.891623615938897274e+00,-4.891623615938897274e+00,-2.871593635903319175e+00
-2.128140703517588008e+03,8.000000000000000000e+02,-2.994409601844571625e+03,-2.994409601844571625e+03,-1.498502218124349383e+01,-1.498502218124349383e+01,-3.294011899044329450e+00,-3.001658586654887131e+03,-4.898926012263473240e+00,-4.898926012263473240e+00,-2.856988843250741539e+00
-2.183417085427135135e+03,8.000000000000000000e+02,-2.994409932287669108e+03,-2.994409932287669108e+03,-1.499291525623902999e+01,-1.499291525623902999e+01,-3.252656376480459244e+00,-3.001683495141263393e+03,-4.905768400540637231e+00,-4.905768400540637231e+00,-2.843304066699179788e+00
-2.238693467336683170e+03,8.000000000000000000e+02,-2.994410254874926977e+03,-2.994410254874926977e+03,-1.500027728031909646e+01,-1.500027728031909646e+01,-3.214307985552531832e+00,-3.001706474309521582e+03,-4.912186779684361682e+00,-4.912186779684361682e+00,-2.830467308410359539e+00
-2.293969849246231206e+03,8.000000000000000000e+02,-2.994410569816989664e+03,-2.994410569816989664e+03,-1.500715451022142588e+01,-1.500715451022142588e+01,-3.178703383657467185e+00,-3.001727694567482558e+03,-4.918213893703978101e+00,-4.918213893703978101e+00,-2.818413080375142155e+00
-2.349246231155778332e+03,8.000000000000000000e+02,-2.994410877320236978e+03,-2.994410877320236978e+03,-1.501358835120163349e+01,-1.501358835120163349e+01,-3.145605627746825395e+00,-3.001747309634932662e+03,-4.923879552705784590e+00,-4.923879552705784590e+00,-2.807081762366656186e+00
-2.404522613065326368e+03,8.000000000000000000e+02,-2.994411177586556732e+03,-2.994411177586556732e+03,-1.501961594017939206e+01,-1.501961594017939206e+01,-3.114801256993752432e+00,-3.001765458295106782e+03,-4.929210921583944582e+00,-4.929210921583944582e+00,-2.796419024612601500e+00
-2.459798994974874404e+03,8.000000000000000000e+02,-2.994411470813194683e+03,-2.994411470813194683e+03,-1.502527065150115959e+01,-1.502527065150115959e+01,-3.086097718616808816e+00,-3.001782265957540858e+03,-4.934232779251033207e+00,-4.934232779251033207e+00,-2.786375309278779078e+00
-2.515075376884421530e+03,8.000000000000000000e+02,-2.994411757192753612e+03,-2.994411757192753612e+03,-1.503058253635117580e+01,-1.503058253635117580e+01,-3.059321095709855776e+00,-3.001797846051629222e+03,-4.938967751313612098e+00,-4.938967751313612098e+00,-2.776905365154693772e+00
-2.570351758793969566e+03,8.000000000000000000e+02,-2.994412036913045085e+03,-2.994412036913045085e+03,-1.503557870510667271e+01,-1.503557870510667271e+01,-3.034314100537384373e+00,-3.001812301268707870e+03,-4.943436518749649622e+00,-4.943436518749649622e+00,-2.767967830283520225e+00
-2.625628140703517602e+03,8.000000000000000000e+02,-2.994412310157096726e+03,-2.994412310157096726e+03,-1.504028366067541356e+01,-1.504028366067541356e+01,-3.010934301081859665e+00,-3.001825724668922703e+03,-4.947658005060475261e+00,-4.947658005060475261e+00,-2.759524857654585439e+00
-2.680904522613064728e+03,8.000000000000000000e+02,-2.994412577103154035e+03,-2.994412577103154035e+03,-1.504471958954763977e+01,-1.504471958954763977e+01,-2.989052552503183691e+00,-3.001838200667647470e+03,-4.951649544130305003e+00,-4.951649544130305003e+00,-2.751541779519007136e+00
-2.736180904522612764e+03,8.000000000000000000e+02,-2.994412837924681298e+03,-2.994412837924681298e+03,-1.504890661645322325e+01,-1.504890661645322325e+01,-2.968551608573752443e+00,-3.001849805914716399e+03,-4.955427030756254680e+00,-4.955427030756254680e+00,-2.743986806263512879e+00
-2.791457286432159890e+03,8.000000000000000000e+02,-2.994413092790435257e+03,-2.994413092790435257e+03,-1.505286302752210759e+01,-1.505286302752210759e+01,-2.949324891274025529e+00,-3.001860610078379068e+03,-4.959005055790157712e+00,-4.959005055790157712e+00,-2.736830756199032155e+00
-2.846733668341708835e+03,8.000000000000000000e+02,-2.994413341864475115e+03,-2.994413341864475115e+03,-1.505660546628860175e+01,-1.505660546628860175e+01,-2.931275399406207072e+00,-3.001870676544634989e+03,-4.962397027411498129e+00,-4.962397027411498129e+00,-2.730046812961302471e+00
-2.902010050251255961e+03,8.000000000000000000e+02,-2.994413585306235291e+03,-2.994413585306235291e+03,-1.506014910610838342e+01,-1.506014910610838342e+01,-2.914314739503812923e+00,-3.001880063041364792e+03,-4.965615280103520490e+00,-4.965615280103520490e+00,-2.723610307570624389e+00
-2.957286432160803088e+03,8.000000000000000000e+02,-2.994413823270625471e+03,-2.994413823270625471e+03,-1.506350780207503703e+01,-1.506350780207503703e+01,-2.898362264352664308e+00,-3.001888822195789544e+03,-4.968671172624908650e+00,-4.968671172624908650e+00,-2.717498522526297755e+00
-3.012562814070352488e+03,8.000000000000000000e+02,-1.506669422522372770e+01,-1.506669422522372770e+01,-2.994414055908087903e+03,-2.994414055908087903e+03,-2.883344306315674732e+00,-3.001897002032615546e+03,-4.971575176114129135e+00,-4.971575176114129135e+00,-2.711690515552032998e+00
-3.067839195979899614e+03,8.000000000000000000e+02,-1.506971998117114708e+01,-1.506971998117114708e+01,-2.994414283364689254e+03,-2.994414283364689254e+03,-2.869193494252879173e+00,-3.001904646419583059e+03,-4.974336953432157316e+00,-4.974336953432157316e+00,-2.706166960916038366e+00
-3.123115577889446740e+03,8.000000000000000000e+02,-1.507259571534996212e+01,-1.507259571534996212e+01,-2.994414505782201104e+03,-2.994414505782201104e+03,-2.855848144187919324e+00,-3.001911795466276089e+03,-4.976965430672862567e+00,-4.976965430672862567e+00,-2.700910006435474298e+00
-3.178391959798995231e+03,8.000000000000000000e+02,-1.507533120631705970e+01,-1.507533120631705970e+01,-2.994414723298217723e+03,-2.994414723298217723e+03,-2.843251715130586277e+00,-3.001918485881354627e+03,-4.979468861635723442e+00,-4.979468861635723442e+00,-2.695903144512565852e+00
-3.233668341708542357e+03,8.000000000000000000e+02,-1.507793544881815251e+01,-1.507793544881815251e+01,-2.994414936046267030e+03,-2.994414936046267030e+03,-2.831352322511124342e+00,-3.001924751292871406e+03,-4.981854886036671815e+00,-4.981854886036671815e+00,-2.691131095709489163e+00
-3.288944723618089483e+03,8.000000000000000000e+02,-1.508041672774834296e+01,-1.508041672774834296e+01,-2.994415144155878806e+03,-2.994415144155878806e+03,-2.820102302613012757e+00,-3.001930622535699513e+03,-4.984130582114630670e+00,-4.984130582114630670e+00,-2.686579703552335996e+00
-3.344221105527638429e+03,8.000000000000000000e+02,-1.508278268414869672e+01,-1.508278268414869672e+01,-2.994415347752691559e+03,-2.994415347752691559e+03,-2.809457822185884357e+00,-3.001936127909696552e+03,-4.986302514196722768e+00,-4.986302514196722768e+00,-2.682235839381418518e+00
-3.399497487437185555e+03,8.000000000000000000e+02,-1.508504037420698296e+01,-1.508504037420698296e+01,-2.994415546958591221e+03,-2.994415546958591221e+03,-2.799378528161675206e+00,-3.001941293411809056e+03,-4.988376775779215677e+00,-4.988376775779215677e+00,-2.678087316217631297e+00
-3.454773869346732681e+03,8.000000000000000000e+02,-1.508719632206339156e+01,-1.508719632206339156e+01,-2.994415741891781181e+03,-2.994415741891781181e+03,-2.789827232968342674e+00,-3.001946142944912935e+03,-4.990359028539387509e+00,-4.990359028539387509e+00,-2.674122810698484454e+00
-3.510050251256281626e+03,8.000000000000000000e+02,-1.508925656718110986e+01,-1.508925656718110986e+01,-2.994415932666881417e+03,-2.994415932666881417e+03,-2.780769631495940697e+00,-3.001950698505929267e+03,-4.992254537751250609e+00,-4.992254537751250609e+00,-2.670331792276616767e+00
-3.565326633165828753e+03,8.000000000000000000e+02,-1.509122670687247592e+01,-1.509122670687247592e+01,-2.994416119395089481e+03,-2.994416119395089481e+03,-2.772174046252420254e+00,-3.001954980355384123e+03,-4.994068204425275326e+00,-4.994068204425275326e+00,-2.666704458924206822e+00
-3.620603015075375879e+03,8.000000000000000000e+02,-1.509311193455141620e+01,-1.509311193455141620e+01,-2.994416302184174128e+03,-2.994416302184174128e+03,-2.764011197620944049e+00,-3.001959007170455152e+03,-4.995804594532273768e+00,-4.995804594532273768e+00,-2.663231678705679339e+00
-3.675879396984924824e+03,8.000000000000000000e+02,-1.509491707420602324e+01,-1.509491707420602324e+01,-2.994416481138724521e+03,-2.994416481138724521e+03,-2.756253996528647665e+00,-3.001962796183169303e+03,-4.997467965582472971e+00,-4.997467965582472971e+00,-2.659904936613994852e+00
-3.731155778894471950e+03,8.000000000000000000e+02,-1.509664661147144216e+01,-1.509664661147144216e+01,-2.994416656360074739e+03,-2.994416656360074739e+03,-2.748877357121581433e+00,-3.001966363305355117e+03,-4.999062290809888509e+00,-4.999062290809888509e+00,-2.656716286162509100e+00
-3.786432160804019077e+03,8.000000000000000000e+02,-1.509830472172507143e+01,-1.509830472172507143e+01,-2.994416827946532067e+03,-2.994416827946532067e+03,-2.741858027339568515e+00,-3.001969723241713382e+03,-5.000591281259403331e+00,-5.000591281259403331e+00,-2.653658305260996553e+00
-3.841708542713568022e+03,8.000000000000000000e+02,-1.509989529549420695e+01,-1.509989529549420695e+01,-2.994416995993435194e+03,-2.994416995993435194e+03,-2.735174435497484957e+00,-3.001972889592222145e+03,-5.002058405913885508e+00,-5.002058405913885508e+00,-2.650724055951976244e+00
