Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_STD, R1p_err_MC, red. chi-sq
1124,-1472,1800,8.6772351033,0.100762588287,17.7543545488
1125,-1963,1800,7.1269554171,0.0972708049059,23.7002261251
1126,-2454,1800,5.9738414854,0.0914017255785,22.5694798066
1127,-2945,1800,4.9602738332,0.0807148277245,23.3790378294
1128,-3436,1800,4.29904224389,0.0893845567001,32.5014959777
1129,-3927,1800,3.69073855509,0.0734680790575,32.3077742039
1130,-4418,1800,3.37055777011,0.0777260654288,33.9733758379
1131,-4909,1800,3.0532882733,0.0805325166037,29.493957317
1132,-5400,1800,2.98459264657,0.0802923205418,30.5306853773
1141,10,1800,10.3573892954,0.119275518686,9.46975650754
1142,490,1800,9.14429861873,0.109412953962,12.9523629343
1143,981,1800,7.47157306938,0.0911566965442,17.8738507896
1144,1472,1800,6.11008404966,0.0898171468529,20.813815202
1145,1963,1800,4.97598982085,0.0845429361969,23.7919596983
1146,2454,1800,4.27146218258,0.0768694504943,24.5506687666
1147,2945,1800,3.71475160922,0.0752194320784,31.9321208852
1148,3436,1800,3.28442859285,0.0783247024895,34.8546986243
1149,3927,1800,3.14658212721,0.0775496108073,27.5612650948
1150,4418,1800,2.92614625329,0.0762245717921,27.3630839616
1151,4909,1800,2.85452982051,0.0716729247014,35.9298048483
1152,5400,1800,2.79300311413,0.0710609436766,34.2706036513
